chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AI,2023-06-02,27.5000,call,buy,2023-05-23T19:45:02.532034Z,debit,2.00000,limit,long_call,,2.40000000,2.00000
CVNA,2023-06-02,12.5000,call,buy,2023-05-23T19:43:56.236809Z,debit,11.00000,limit,long_call,,0.98000000,11.00000
NVDA,2023-06-02,295.0000,put,buy,2023-05-23T19:37:49.351602Z,debit,1.00000,limit,long_put,,6.35000000,1.00000
NVDA,2023-06-02,297.5000,put,sell,2023-05-23T19:37:13.910134Z,credit,1.00000,limit,,long_put,7.20000000,1.00000
AI,2023-06-09,37.0000,call,buy,2023-05-22T19:58:47.186824Z,debit,1.00000,limit,long_call,,0.75000000,1.00000
NVDA,2023-06-02,297.5000,put,buy,2023-05-22T19:57:58.353222Z,debit,1.00000,limit,long_put,,6.40000000,1.00000
NVDA,2023-06-02,335.0000,call,buy,2023-05-22T19:54:17.265669Z,debit,2.00000,limit,long_call,,4.70000000,2.00000
NVDA,2023-05-26,305.0000,put,sell,2023-05-22T19:52:10.720133Z,credit,1.00000,limit,,long_put,7.50000000,1.00000
AI,2023-05-26,24.0000,put,buy,2023-05-22T19:48:37.896153Z,debit,7.00000,limit,long_put,,0.20000000,7.00000
AI,2023-06-02,30.0000,call,sell,2023-05-22T19:47:17.363251Z,credit,11.00000,limit,,long_call,1.70000000,11.00000
AI,2023-06-02,30.0000,call,buy,2023-05-22T18:04:22.211905Z,debit,11.00000,limit,long_call,,1.65000000,11.00000
AI,2023-06-02,29.0000,call,sell,2023-05-22T17:23:39.792318Z,credit,15.00000,limit,,long_call,1.70000000,15.00000
AI,2023-06-02,29.0000,call,buy,2023-05-19T19:52:41.275029Z,debit,5.00000,limit,long_call,,1.20000000,5.00000
AI,2023-05-26,24.0000,put,buy,2023-05-19T19:51:59.821117Z,debit,7.00000,limit,long_put,,0.90000000,7.00000
AI,2023-05-26,25.0000,put,sell,2023-05-19T19:36:43.538156Z,credit,6.00000,limit,,long_put,1.35000000,6.00000
NVDA,2023-05-26,305.0000,put,buy,2023-05-18T19:50:56.711587Z,debit,1.00000,limit,long_put,,7.05000000,1.00000
NVDA,2023-06-02,285.0000,put,sell,2023-05-18T19:50:00.650821Z,credit,1.00000,limit,,long_put,3.20000000,1.00000
NVDA,2023-06-02,335.0000,call,buy,2023-05-18T19:49:46.820474Z,debit,2.00000,limit,long_call,,7.25000000,2.00000
AI,2023-05-26,25.0000,put,buy,2023-05-18T19:39:07.549295Z,debit,6.00000,limit,long_put,,1.00000000,6.00000
AI,2023-06-02,29.0000,call,buy,2023-05-18T19:38:42.806882Z,debit,10.00000,limit,long_call,,1.85000000,10.00000
AMD,2023-07-21,115.0000,call,sell,2023-05-18T19:34:39.107189Z,credit,3.00000,limit,,long_call,4.80000000,3.00000
NVDA,2023-06-02,310.0000,call,sell,2023-05-18T19:34:28.138477Z,credit,2.00000,limit,,long_call,17.60000000,2.00000
NVDA,2023-06-02,310.0000,call,buy,2023-05-17T19:53:05.238318Z,debit,2.00000,limit,long_call,,9.65000000,2.00000
NVDA,2023-06-02,285.0000,put,buy,2023-05-17T19:47:13.359338Z,debit,1.00000,limit,long_put,,6.30000000,1.00000
NVDA,2023-05-26,300.0000,call,sell,2023-05-17T19:44:47.296405Z,credit,1.00000,limit,,long_call,12.50000000,1.00000
NVDA,2023-05-26,272.5000,put,sell,2023-05-17T19:38:15.572613Z,credit,1.00000,limit,,long_put,2.47000000,1.00000
AMD,2023-06-16,95.0000,put,sell,2023-05-17T15:02:18.010101Z,credit,2.00000,limit,,long_put,2.32000000,2.00000
NVDA,2023-05-26,250.0000,put,sell,2023-05-17T15:01:52.826947Z,credit,3.00000,limit,,long_put,0.65000000,3.00000
NVDA,2023-05-26,272.5000,put,buy,2023-05-16T19:39:58.019446Z,debit,1.00000,limit,long_put,,4.50000000,1.00000
AMD,2023-06-16,95.0000,put,buy,2023-05-16T19:38:24.426415Z,debit,1.00000,limit,long_put,,2.33000000,1.00000
AMD,2023-07-21,115.0000,call,buy,2023-05-16T19:38:09.219346Z,debit,3.00000,limit,long_call,,3.70000000,3.00000
NVDA,2023-05-26,300.0000,call,buy,2023-05-16T19:34:46.760569Z,debit,1.00000,limit,long_call,,9.40000000,1.00000
NVDA,2023-05-26,292.5000,call,sell,2023-05-16T19:31:49.280470Z,credit,2.00000,limit,,long_call,12.90000000,2.00000
AMD,2023-07-21,105.0000,call,sell,2023-05-16T19:21:14.058372Z,credit,6.00000,limit,,long_call,6.40000000,6.00000
NVDA,2023-05-26,250.0000,put,buy,2023-05-15T19:58:35.050649Z,debit,3.00000,limit,long_put,,1.34000000,3.00000
NVDA,2023-05-19,280.0000,put,sell,2023-05-15T19:27:12.358843Z,credit,2.00000,limit,,long_put,1.10000000,2.00000
AMD,2023-07-21,105.0000,call,buy,2023-05-12T19:48:34.899957Z,debit,2.00000,limit,long_call,,3.55000000,2.00000
NVDA,2023-05-19,280.0000,put,buy,2023-05-12T19:47:38.911254Z,debit,2.00000,limit,long_put,,3.45000000,2.00000
NVDA,2023-05-26,272.5000,put,sell,2023-05-12T18:50:50.877220Z,credit,1.00000,limit,,long_put,8.05000000,1.00000
AMD,2023-06-16,95.0000,put,buy,2023-05-09T19:49:02.023355Z,debit,1.00000,limit,long_put,,5.10000000,1.00000
NVDA,2023-05-26,272.5000,put,buy,2023-05-09T19:48:25.171597Z,debit,1.00000,limit,long_put,,7.40000000,1.00000
AMD,2023-07-21,105.0000,call,buy,2023-05-09T19:32:06.770017Z,debit,4.00000,limit,long_call,,3.90000000,4.00000
NVDA,2023-05-26,292.5000,call,buy,2023-05-09T19:28:49.577550Z,debit,2.00000,limit,long_call,,10.85000000,2.00000
AAPL,2023-05-12,172.5000,call,sell,2023-05-05T17:18:14.024017Z,credit,5.00000,limit,,long_call,2.65000000,5.00000
SNOW,2023-05-05,155.0000,put,sell,2023-05-05T16:52:25.903734Z,credit,1.00000,limit,,straddle,1.63000000,1.00000
SNOW,2023-05-05,155.0000,call,sell,2023-05-05T16:52:25.903734Z,credit,1.00000,limit,,straddle,1.63000000,1.00000
AAPL,2023-05-12,172.5000,call,buy,2023-05-04T19:39:55.795563Z,debit,1.00000,limit,long_call,,1.72000000,1.00000
AAPL,2023-05-12,160.0000,put,buy,2023-05-04T19:39:28.359829Z,debit,2.00000,limit,long_put,,2.02000000,2.00000
SNOW,2023-05-05,155.0000,put,buy,2023-05-04T17:19:40.502194Z,debit,1.00000,limit,straddle,,4.20000000,1.00000
SNOW,2023-05-05,155.0000,call,buy,2023-05-04T17:19:40.502194Z,debit,1.00000,limit,straddle,,4.20000000,1.00000
NVDA,2023-05-05,277.5000,put,sell,2023-05-04T14:46:08.049394Z,credit,3.00000,limit,,long_put,4.65000000,3.00000
ETSY,2023-05-05,99.0000,put,sell,2023-05-03T19:33:25.093610Z,credit,1.00000,limit,,straddle,10.80000000,1.00000
ETSY,2023-05-05,99.0000,call,sell,2023-05-03T19:33:25.093610Z,credit,1.00000,limit,,straddle,10.80000000,1.00000
NVDA,2023-05-26,305.0000,call,sell,2023-05-03T15:41:14.002512Z,credit,3.00000,limit,,long_call,4.45000000,3.00000
ETSY,2023-05-05,99.0000,call,buy,2023-05-02T19:56:24.329097Z,debit,1.00000,limit,straddle,,10.80000000,1.00000
ETSY,2023-05-05,99.0000,put,buy,2023-05-02T19:56:24.329097Z,debit,1.00000,limit,straddle,,10.80000000,1.00000
NVDA,2023-05-05,277.5000,put,buy,2023-05-02T19:43:05.860012Z,debit,3.00000,limit,long_put,,2.93000000,3.00000
NVDA,2023-05-05,280.0000,put,sell,2023-05-02T15:43:24.427645Z,credit,2.00000,limit,,long_put,3.40000000,2.00000
NVDA,2023-05-05,280.0000,put,buy,2023-05-01T19:58:24.791156Z,debit,2.00000,limit,long_put,,1.81000000,2.00000
NVDA,2023-05-26,305.0000,call,buy,2023-05-01T19:55:41.304794Z,debit,3.00000,limit,long_call,,8.55000000,3.00000
NVDA,2023-05-26,295.0000,call,sell,2023-05-01T19:39:40.323304Z,credit,3.00000,limit,,long_call,12.20000000,3.00000
NVDA,2023-05-26,270.0000,call,sell,2023-05-01T19:39:21.083819Z,credit,1.00000,limit,,long_call,26.40000000,1.00000
NVDA,2023-05-26,295.0000,call,buy,2023-04-28T14:31:31.459338Z,debit,3.00000,limit,long_call,,6.40000000,3.00000
SNAP,2023-04-28,10.0000,put,sell,2023-04-28T14:22:32.419477Z,credit,5.00000,limit,,straddle,1.47000000,5.00000
SNAP,2023-04-28,10.0000,call,sell,2023-04-28T14:22:32.419477Z,credit,5.00000,limit,,straddle,1.47000000,5.00000
AMZN,2023-05-05,113.0000,call,sell,2023-04-28T14:21:27.757382Z,credit,5.00000,limit,,long_call,0.32000000,5.00000
AAPL,2023-05-12,172.5000,call,buy,2023-04-28T14:20:55.456022Z,debit,4.00000,limit,long_call,,2.62000000,4.00000
SPOT,2023-04-28,138.0000,call,sell,2023-04-28T14:18:15.819503Z,credit,3.00000,limit,,straddle,6.40000000,3.00000
SPOT,2023-04-28,138.0000,put,sell,2023-04-28T14:18:15.819503Z,credit,3.00000,limit,,straddle,6.40000000,3.00000
AMZN,2023-05-05,113.0000,call,buy,2023-04-27T17:20:00.645157Z,credit,1.00000,limit,long_call,long_call,0.40000000,1.00000
AMZN,2023-05-05,112.0000,call,sell,2023-04-27T17:20:00.645157Z,credit,1.00000,limit,long_call,long_call,0.40000000,1.00000
AMZN,2023-05-05,113.0000,call,buy,2023-04-27T16:45:27.111770Z,debit,4.00000,limit,long_call,,3.30000000,4.00000
NVDA,2023-05-26,270.0000,call,sell,2023-04-27T16:44:22.786072Z,credit,1.00000,limit,,long_call,14.30000000,1.00000
AMZN,2023-05-05,112.0000,call,buy,2023-04-27T16:42:22.826870Z,debit,1.00000,limit,long_call,,3.70000000,1.00000
ROKU,2023-04-28,59.0000,call,sell,2023-04-27T16:41:51.203048Z,credit,1.00000,limit,,straddle,2.10000000,1.00000
ROKU,2023-04-28,59.0000,put,sell,2023-04-27T16:41:51.203048Z,credit,1.00000,limit,,straddle,2.10000000,1.00000
NVDA,2023-05-26,270.0000,call,buy,2023-04-27T15:34:48.577904Z,debit,2.00000,limit,long_call,,14.20000000,2.00000
SNAP,2023-04-28,10.0000,call,buy,2023-04-27T04:35:27.292742Z,debit,5.00000,limit,straddle,,1.86000000,5.00000
SNAP,2023-04-28,10.0000,put,buy,2023-04-27T04:35:27.292742Z,debit,5.00000,limit,straddle,,1.86000000,5.00000
MSFT,2023-04-28,280.0000,call,buy,2023-04-26T19:33:38.319424Z,debit,2.00000,limit,,short_call_spread,9.33000000,2.00000
MSFT,2023-04-28,290.0000,call,sell,2023-04-26T19:33:38.319424Z,debit,2.00000,limit,,short_call_spread,9.33000000,2.00000
ROKU,2023-04-28,59.0000,put,buy,2023-04-26T06:46:19.421764Z,debit,1.00000,limit,straddle,,7.38000000,1.00000
ROKU,2023-04-28,59.0000,call,buy,2023-04-26T06:46:19.421764Z,debit,1.00000,limit,straddle,,7.38000000,1.00000
SPOT,2023-04-28,138.0000,call,buy,2023-04-25T19:55:12.442401Z,debit,3.00000,limit,straddle,,4.48000000,3.00000
SPOT,2023-04-28,138.0000,put,buy,2023-04-25T19:55:12.442401Z,debit,3.00000,limit,straddle,,4.48000000,3.00000
AAPL,2023-04-28,157.5000,put,sell,2023-04-25T19:48:15.426168Z,debit,5.00000,limit,,short_put_spread,3.67000000,5.00000
AAPL,2023-04-28,167.5000,put,buy,2023-04-25T19:48:15.426168Z,debit,5.00000,limit,,short_put_spread,3.67000000,5.00000
MSFT,2023-04-28,280.0000,call,sell,2023-04-25T19:44:53.218778Z,credit,2.00000,limit,short_call_spread,,2.83000000,2.00000
MSFT,2023-04-28,290.0000,call,buy,2023-04-25T19:44:53.218778Z,credit,2.00000,limit,short_call_spread,,2.83000000,2.00000
AMZN,2023-04-28,110.0000,call,buy,2023-04-25T18:52:07.642270Z,debit,2.00000,limit,,short_call_spread,0.79000000,2.00000
AMZN,2023-04-28,115.0000,call,sell,2023-04-25T18:52:07.642270Z,debit,2.00000,limit,,short_call_spread,0.79000000,2.00000
AMZN,2023-04-28,110.0000,call,sell,2023-04-21T19:44:10.032376Z,credit,2.00000,limit,short_call_spread,,1.47000000,2.00000
AMZN,2023-04-28,115.0000,call,buy,2023-04-21T19:44:10.032376Z,credit,2.00000,limit,short_call_spread,,1.47000000,2.00000
NVDA,2023-04-28,285.0000,call,sell,2023-04-21T19:42:16.821217Z,debit,2.00000,limit,,short_call_spread,2.36000000,2.00000
NVDA,2023-04-28,275.0000,call,buy,2023-04-21T19:42:16.821217Z,debit,2.00000,limit,,short_call_spread,2.36000000,2.00000
NVDA,2023-04-21,277.5000,put,buy,2023-04-21T19:32:53.763326Z,debit,8.00000,limit,,short_put_spread,7.45000000,8.00000
NVDA,2023-04-21,267.5000,put,sell,2023-04-21T19:32:53.763326Z,debit,8.00000,limit,,short_put_spread,7.45000000,8.00000
NVDA,2023-04-28,285.0000,call,buy,2023-04-20T19:53:38.653364Z,credit,2.00000,limit,short_call_spread,,2.81000000,2.00000
NVDA,2023-04-28,275.0000,call,sell,2023-04-20T19:53:38.653364Z,credit,2.00000,limit,short_call_spread,,2.81000000,2.00000
NVDA,2023-04-21,277.5000,put,sell,2023-04-20T15:42:50.776276Z,credit,2.00000,limit,short_put_spread,,2.69000000,2.00000
NVDA,2023-04-21,267.5000,put,buy,2023-04-20T15:42:50.776276Z,credit,2.00000,limit,short_put_spread,,2.69000000,2.00000
NVDA,2023-04-21,280.0000,call,buy,2023-04-20T15:31:35.985367Z,debit,3.00000,limit,,short_call_spread,0.93000000,3.00000
NVDA,2023-04-21,290.0000,call,sell,2023-04-20T15:31:35.985367Z,debit,3.00000,limit,,short_call_spread,0.93000000,3.00000
AAPL,2023-04-28,157.5000,put,buy,2023-04-20T14:27:13.665504Z,credit,5.00000,limit,short_put_spread,,2.07000000,5.00000
AAPL,2023-04-28,167.5000,put,sell,2023-04-20T14:27:13.665504Z,credit,5.00000,limit,short_put_spread,,2.07000000,5.00000
NVDA,2023-04-21,277.5000,put,sell,2023-04-19T19:49:20.567960Z,credit,6.00000,limit,short_put_spread,,1.85000000,6.00000
NVDA,2023-04-21,267.5000,put,buy,2023-04-19T19:49:20.567960Z,credit,6.00000,limit,short_put_spread,,1.85000000,6.00000
NVDA,2023-04-21,277.5000,put,buy,2023-04-19T19:46:36.649557Z,debit,8.00000,limit,,short_put_spread,1.90000000,8.00000
NVDA,2023-04-21,267.5000,put,sell,2023-04-19T19:46:36.649557Z,debit,8.00000,limit,,short_put_spread,1.90000000,8.00000
NVDA,2023-04-21,280.0000,call,sell,2023-04-18T19:57:56.912280Z,credit,1.00000,limit,short_call_spread,,2.00000000,1.00000
NVDA,2023-04-21,290.0000,call,buy,2023-04-18T19:57:56.912280Z,credit,1.00000,limit,short_call_spread,,2.00000000,1.00000
NVDA,2023-04-21,277.5000,put,sell,2023-04-18T19:57:42.226935Z,credit,2.00000,limit,short_put_spread,,3.26000000,2.00000
NVDA,2023-04-21,267.5000,put,buy,2023-04-18T19:57:42.226935Z,credit,2.00000,limit,short_put_spread,,3.26000000,2.00000
NVDA,2023-04-21,280.0000,call,sell,2023-04-18T19:38:54.780603Z,credit,2.00000,limit,short_call_spread,,1.85000000,2.00000
NVDA,2023-04-21,290.0000,call,buy,2023-04-18T19:38:54.780603Z,credit,2.00000,limit,short_call_spread,,1.85000000,2.00000
NVDA,2023-04-21,272.5000,call,buy,2023-04-18T19:29:37.629214Z,debit,5.00000,limit,,short_call_spread,3.43000000,5.00000
NVDA,2023-04-21,280.0000,call,sell,2023-04-18T19:29:37.629214Z,debit,5.00000,limit,,short_call_spread,3.43000000,5.00000
NVDA,2023-04-21,277.5000,put,sell,2023-04-18T15:02:38.273586Z,credit,6.00000,limit,short_put_spread,,2.60000000,6.00000
NVDA,2023-04-21,267.5000,put,buy,2023-04-18T15:02:38.273586Z,credit,6.00000,limit,short_put_spread,,2.60000000,6.00000
NVDA,2023-04-21,265.0000,put,buy,2023-04-18T14:30:59.496083Z,debit,4.00000,limit,,short_put_spread,0.63000000,4.00000
NVDA,2023-04-21,255.0000,put,sell,2023-04-18T14:30:59.496083Z,debit,4.00000,limit,,short_put_spread,0.63000000,4.00000
NVDA,2023-04-21,255.0000,put,buy,2023-04-17T19:52:26.416468Z,credit,4.00000,limit,short_put_spread,,1.74000000,4.00000
NVDA,2023-04-21,265.0000,put,sell,2023-04-17T19:52:26.416468Z,credit,4.00000,limit,short_put_spread,,1.74000000,4.00000
NVDA,2023-04-21,272.5000,call,sell,2023-04-14T19:44:58.128629Z,credit,5.00000,limit,short_call_spread,,1.90000000,5.00000
NVDA,2023-04-21,280.0000,call,buy,2023-04-14T19:44:58.128629Z,credit,5.00000,limit,short_call_spread,,1.90000000,5.00000
NVDA,2023-04-14,270.0000,call,buy,2023-04-14T14:49:31.249535Z,debit,10.00000,limit,,short_call_spread,0.16000000,10.00000
NVDA,2023-04-14,275.0000,call,sell,2023-04-14T14:49:31.249535Z,debit,10.00000,limit,,short_call_spread,0.16000000,10.00000
NVDA,2023-04-14,275.0000,call,buy,2023-04-13T19:46:22.368907Z,credit,10.00000,limit,short_call_spread,,0.55000000,10.00000
NVDA,2023-04-14,270.0000,call,sell,2023-04-13T19:46:22.368907Z,credit,10.00000,limit,short_call_spread,,0.55000000,10.00000
NVDA,2023-04-14,265.0000,put,buy,2023-04-13T19:41:33.753089Z,debit,7.00000,limit,,short_put_spread,1.39000000,7.00000
NVDA,2023-04-14,257.5000,put,sell,2023-04-13T19:41:33.753089Z,debit,7.00000,limit,,short_put_spread,1.39000000,7.00000
NVDA,2023-04-14,280.0000,call,sell,2023-04-13T19:36:10.499797Z,debit,6.00000,limit,,short_call_spread,0.69000000,6.00000
NVDA,2023-04-14,270.0000,call,buy,2023-04-13T19:36:10.499797Z,debit,6.00000,limit,,short_call_spread,0.69000000,6.00000
NVDA,2023-04-14,265.0000,put,sell,2023-04-13T14:24:13.771418Z,credit,7.00000,limit,short_put_spread,,1.26000000,7.00000
NVDA,2023-04-14,257.5000,put,buy,2023-04-13T14:24:13.771418Z,credit,7.00000,limit,short_put_spread,,1.26000000,7.00000
NVDA,2023-05-05,285.0000,call,sell,2023-04-13T00:54:11.779854Z,credit,2.00000,limit,,long_call,4.05000000,2.00000
NVDA,2023-04-14,280.0000,call,buy,2023-04-12T19:35:04.898959Z,credit,6.00000,limit,short_call_spread,,1.27000000,6.00000
NVDA,2023-04-14,270.0000,call,sell,2023-04-12T19:35:04.898959Z,credit,6.00000,limit,short_call_spread,,1.27000000,6.00000
NVDA,2023-04-14,277.5000,call,buy,2023-04-12T15:44:51.172199Z,debit,4.00000,limit,,short_call_spread,0.44000000,4.00000
NVDA,2023-04-14,287.5000,call,sell,2023-04-12T15:44:51.172199Z,debit,4.00000,limit,,short_call_spread,0.44000000,4.00000
NVDA,2023-04-14,277.5000,call,sell,2023-04-11T19:50:26.306821Z,credit,4.00000,limit,short_call_spread,,1.70000000,4.00000
NVDA,2023-04-14,287.5000,call,buy,2023-04-11T19:50:26.306821Z,credit,4.00000,limit,short_call_spread,,1.70000000,4.00000
NVDA,2023-04-14,280.0000,call,buy,2023-04-10T15:16:42.890913Z,debit,1.00000,limit,,short_call,2.73000000,1.00000
NVDA,2023-04-14,270.0000,call,buy,2023-04-10T14:50:55.321600Z,debit,4.00000,limit,,short_call_spread,2.55000000,4.00000
NVDA,2023-04-14,275.0000,call,sell,2023-04-10T14:50:55.321600Z,debit,4.00000,limit,,short_call_spread,2.55000000,4.00000
NVDA,2023-04-14,280.0000,call,buy,2023-04-10T14:50:32.741909Z,debit,1.00000,limit,,short_call,2.12000000,1.00000
AI,2023-04-14,21.0000,put,sell,2023-04-06T19:37:53.581439Z,credit,2.00000,limit,,straddle,3.35000000,2.00000
AI,2023-04-14,21.0000,call,sell,2023-04-06T19:37:53.581439Z,credit,2.00000,limit,,straddle,3.35000000,2.00000
NVDA,2023-04-14,270.0000,call,sell,2023-04-05T19:35:33.536088Z,credit,4.00000,limit,short_call_spread,,1.95000000,4.00000
NVDA,2023-04-14,275.0000,call,buy,2023-04-05T19:35:33.536088Z,credit,4.00000,limit,short_call_spread,,1.95000000,4.00000
AI,2023-04-14,21.0000,put,buy,2023-04-05T19:34:41.195103Z,debit,2.00000,limit,straddle,,3.88000000,2.00000
AI,2023-04-14,21.0000,call,buy,2023-04-05T19:34:41.195103Z,debit,2.00000,limit,straddle,,3.88000000,2.00000
AAPL,2023-04-06,170.0000,call,sell,2023-04-05T17:11:08.837757Z,debit,4.00000,limit,,short_call_spread,0.17000000,4.00000
AAPL,2023-04-06,165.0000,call,buy,2023-04-05T17:11:08.837757Z,debit,4.00000,limit,,short_call_spread,0.17000000,4.00000
NVDA,2023-04-06,275.0000,call,buy,2023-04-05T15:07:10.026517Z,debit,2.00000,limit,,short_call_spread,0.15000000,2.00000
NVDA,2023-04-06,280.0000,call,sell,2023-04-05T15:07:10.026517Z,debit,2.00000,limit,,short_call_spread,0.15000000,2.00000
